repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
cvi,chore: add signal group link to readme,https://github.com/e-gov/cvi/pull/69,2023-03-31T18:34:18Z,2023-04-03T10:11:29Z,0,1,MERGED
cvi,fix(styles): fixed styles import error into a project without Angular CDK,https://github.com/e-gov/cvi/pull/68,2023-03-31T16:16:23Z,2023-04-13T13:12:36Z,3,10,MERGED
cvi,fix: private registry install,https://github.com/e-gov/cvi/pull/66,2023-03-31T13:27:34Z,2023-03-31T13:37:40Z,0,1,MERGED
cvi,fix: storybook build and release,https://github.com/e-gov/cvi/pull/65,2023-03-31T08:39:30Z,2023-03-31T09:00:15Z,0,3,MERGED
cvi,fix(docs): added quick installation instructions to Readme,https://github.com/e-gov/cvi/pull/64,2023-03-30T21:50:58Z,2023-03-31T07:28:03Z,0,2,MERGED
cvi,fix: cross realm object access,https://github.com/e-gov/cvi/pull/63,2023-03-30T13:35:55Z,2023-03-30T13:48:59Z,0,4,MERGED
cvi,feat(test): added automated accessibility testing on local and CI integration,https://github.com/e-gov/cvi/pull/61,2023-03-30T12:37:44Z,2023-05-10T10:26:55Z,1,31,MERGED
cvi,chore: typos,https://github.com/e-gov/cvi/pull/60,2023-03-30T08:25:01Z,2023-03-30T08:31:55Z,0,1,MERGED
cvi,feat(ui): accessibility improvements for cvi-ng-select,https://github.com/e-gov/cvi/pull/59,2023-03-29T23:43:48Z,2023-04-06T03:53:13Z,0,51,MERGED
cvi,feat: upgrade nx,https://github.com/e-gov/cvi/pull/58,2023-03-28T19:40:19Z,2023-03-30T11:10:07Z,0,3,CLOSED
cvi,feat: upgrade webpack version,https://github.com/e-gov/cvi/pull/57,2023-03-24T11:35:19Z,2023-03-24T11:48:44Z,0,1,MERGED
cvi,fix(github): removed a reserved 'None' word from Feature request issue template,https://github.com/e-gov/cvi/pull/55,2023-03-23T20:42:26Z,2023-03-23T20:42:43Z,0,1,MERGED
