repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
triple-frontend,"H1, H2, H3, H4, Paragraph 컴포넌트를 triple-document에서 노출",https://github.com/titicacadev/triple-frontend/pull/70,2019-09-28T03:01:33Z,2019-09-28T04:01:55Z,2,4,MERGED
triple-frontend,Pull Request Template을 추가합니다.,https://github.com/titicacadev/triple-frontend/pull/64,2019-09-24T01:55:51Z,2019-09-26T01:26:17Z,10,5,MERGED
triple-frontend,triple-design-system 패키지명을 core-elements로 변경합니다.,https://github.com/titicacadev/triple-frontend/pull/62,2019-09-23T09:58:14Z,2019-09-23T12:50:37Z,0,3,MERGED
triple-frontend,리뷰 플레이스홀더 변경 ,https://github.com/titicacadev/triple-frontend/pull/55,2019-09-19T09:47:57Z,2019-09-20T00:43:35Z,6,8,MERGED
triple-frontend,💫 트리플 도큐먼트에 쿠폰 다운로드 버튼 추가,https://github.com/titicacadev/triple-frontend/pull/44,2019-09-16T08:10:08Z,2019-09-17T05:20:29Z,5,8,CLOSED
triple-frontend,[image-carousel] nuka-carousel 을 @egjs/react-flicking 으로 교체합니다.,https://github.com/titicacadev/triple-frontend/pull/37,2019-09-09T02:11:10Z,2019-09-09T02:46:13Z,6,18,MERGED
triple-frontend,pricing 컴포넌트의 스타일을 변경합니다,https://github.com/titicacadev/triple-frontend/pull/34,2019-09-05T05:35:00Z,2019-09-07T04:48:57Z,0,4,MERGED
triple-frontend,image-carousel 모듈의 nuka-carousel 을 @egjs/react-flicking 으로 교체합니다.,https://github.com/titicacadev/triple-frontend/pull/24,2019-09-02T08:15:01Z,2019-09-09T01:59:36Z,9,17,CLOSED
triple-frontend,search-navbar에 padding을 초기화합니다.,https://github.com/titicacadev/triple-frontend/pull/175,2019-10-30T09:41:26Z,2019-10-31T00:44:33Z,0,2,MERGED
triple-frontend,"Fix: POI, article의 리뷰플레이스홀더 문구를 변경합니다",https://github.com/titicacadev/triple-frontend/pull/169,2019-10-30T02:01:32Z,2019-10-30T02:24:17Z,1,3,MERGED
triple-frontend,Public 페이지에서 리뷰 이미지 섬네일 클릭 시 TransitionModal 노출,https://github.com/titicacadev/triple-frontend/pull/155,2019-10-25T10:05:56Z,2019-10-25T10:18:12Z,3,3,MERGED
triple-frontend,별점과 텍스트의 라인을 맞춥니다,https://github.com/titicacadev/triple-frontend/pull/152,2019-10-25T08:19:14Z,2019-10-25T08:31:44Z,1,1,MERGED
triple-frontend,전체 TransitionModal을 단일 모듈로 제공합니다.,https://github.com/titicacadev/triple-frontend/pull/148,2019-10-25T05:38:29Z,2019-10-25T08:11:09Z,1,16,MERGED
triple-frontend,[image-carousel] 데스크탑 환경에서 플리킹시 이미지가 드래그되려는 문제를 수정합니다.,https://github.com/titicacadev/triple-frontend/pull/145,2019-10-25T02:25:43Z,2019-10-25T02:30:50Z,1,3,MERGED
triple-frontend,Author intro 에서 링크 색깔이 의도대로 변경되지 않는 이슈를 해결합니다,https://github.com/titicacadev/triple-frontend/pull/141,2019-10-24T07:51:26Z,2019-10-24T08:14:47Z,1,2,MERGED
triple-frontend,리뷰 컴포넌트 디자인 QA 적용,https://github.com/titicacadev/triple-frontend/pull/120,2019-10-18T08:10:27Z,2019-10-18T10:28:59Z,3,2,MERGED
triple-frontend,ReviewLikesContext 경계 재설정 및 개선,https://github.com/titicacadev/triple-frontend/pull/111,2019-10-15T11:58:05Z,2019-10-16T03:57:08Z,2,18,MERGED
triple-frontend,PromoLabel 수정,https://github.com/titicacadev/triple-frontend/pull/109,2019-10-15T02:41:40Z,2019-10-15T04:48:39Z,2,5,MERGED
triple-frontend,Author를 새롭게 개편합니다,https://github.com/titicacadev/triple-frontend/pull/101,2019-10-11T08:53:25Z,2019-10-15T07:18:50Z,10,29,MERGED
triple-frontend,Change/author,https://github.com/titicacadev/triple-frontend/pull/97,2019-10-11T05:03:26Z,2019-10-11T06:34:01Z,2,10,CLOSED
triple-frontend,📦 Search Navbar 추가,https://github.com/titicacadev/triple-frontend/pull/88,2019-10-07T01:37:08Z,2019-10-07T06:41:18Z,14,7,MERGED
triple-frontend,Add ContentSharing,https://github.com/titicacadev/triple-frontend/pull/86,2019-10-02T08:18:34Z,2019-10-07T02:13:45Z,21,22,MERGED
triple-frontend,T&A 상품 리뷰 플레이스홀더 레이블 변경,https://github.com/titicacadev/triple-frontend/pull/80,2019-10-01T05:49:04Z,2019-10-01T06:20:01Z,3,3,MERGED
triple-frontend,pricing component 의 스타일을 수정합니다,https://github.com/titicacadev/triple-frontend/pull/268,2019-11-25T06:06:43Z,2019-11-28T06:56:30Z,4,5,MERGED
triple-frontend,[review] 플레이스 홀더를 개선합니다.,https://github.com/titicacadev/triple-frontend/pull/253,2019-11-21T08:55:22Z,2019-11-21T09:26:51Z,6,9,MERGED
triple-frontend,[action-sheet] 위에서 아래로 내려오는 형태의 액션시트를 구현합니다.,https://github.com/titicacadev/triple-frontend/pull/250,2019-11-20T07:58:51Z,2019-11-21T04:50:48Z,17,10,MERGED
triple-frontend,[triple-document] 이미지 타입 links의 텍스트의 underline을 제거합니다.,https://github.com/titicacadev/triple-frontend/pull/244,2019-11-20T05:24:19Z,2019-11-20T07:00:19Z,0,2,MERGED
triple-frontend,listing-filter 의 badge 스타일을 수정합니다,https://github.com/titicacadev/triple-frontend/pull/243,2019-11-20T02:07:25Z,2019-11-20T07:21:20Z,0,1,MERGED
triple-frontend,[triple-document] 이미지와 부제가 있는 `links` element,https://github.com/titicacadev/triple-frontend/pull/238,2019-11-19T07:34:14Z,2019-11-19T09:14:26Z,6,1,MERGED
triple-frontend,day-picker에 휴일을 추가합니다.,https://github.com/titicacadev/triple-frontend/pull/229,2019-11-14T07:37:14Z,2019-11-14T07:44:12Z,0,1,MERGED
triple-frontend,range-picker에 휴일을 추가합니다.,https://github.com/titicacadev/triple-frontend/pull/226,2019-11-13T04:39:14Z,2019-11-14T04:28:59Z,3,4,MERGED
triple-frontend,pricing 스타일을 수정합니다,https://github.com/titicacadev/triple-frontend/pull/216,2019-11-11T06:33:36Z,2019-11-11T06:48:10Z,0,1,MERGED
triple-frontend,prettier가 tests/dist 디렉토리의 파일을 검사하는 문제 수정,https://github.com/titicacadev/triple-frontend/pull/215,2019-11-11T04:31:23Z,2019-11-11T04:46:16Z,1,1,MERGED
triple-frontend,[ad-banners] 가로형 광고 배너 컴포넌트 추가,https://github.com/titicacadev/triple-frontend/pull/214,2019-11-11T02:26:31Z,2019-11-14T07:43:00Z,3,11,MERGED
triple-frontend,tooltip 컴포넌트를 추가합니다 & pricing 에 tooltip 을 적용합니다,https://github.com/titicacadev/triple-frontend/pull/212,2019-11-09T14:17:38Z,2019-11-11T05:48:16Z,2,6,MERGED
triple-frontend,label 에 green color 를 추가합니다,https://github.com/titicacadev/triple-frontend/pull/211,2019-11-09T12:34:11Z,2019-11-11T04:30:30Z,2,1,MERGED
triple-frontend,📏 search-navbar 1px 확장,https://github.com/titicacadev/triple-frontend/pull/206,2019-11-07T23:58:35Z,2019-11-08T00:20:53Z,3,2,MERGED
triple-frontend,Fix: 작은 너비의 화면에서 광고 배너의 정렬이 맞지 않는 문제 수정,https://github.com/titicacadev/triple-frontend/pull/202,2019-11-06T10:18:11Z,2019-11-07T00:48:48Z,0,1,MERGED
triple-frontend,action sheet 의 초기 z-index 를 조절합니다,https://github.com/titicacadev/triple-frontend/pull/194,2019-11-05T05:58:19Z,2019-11-05T07:09:56Z,3,1,MERGED
triple-frontend,기존 tab 을 확장하여 line tab 을 추가합니다,https://github.com/titicacadev/triple-frontend/pull/192,2019-11-04T08:03:54Z,2019-11-13T01:15:31Z,8,3,MERGED
triple-frontend,[triple-document] Video 지원,https://github.com/titicacadev/triple-frontend/pull/361,2019-12-26T13:42:54Z,2020-02-21T07:55:34Z,14,15,MERGED
triple-frontend,AdBanners 컴포넌트에서 인벤토리 API 사용할 수 있도록 수정,https://github.com/titicacadev/triple-frontend/pull/353,2019-12-20T06:47:14Z,2020-01-02T09:04:57Z,7,19,MERGED
triple-frontend,listing-filter에 disabled prop를 추가합니다.,https://github.com/titicacadev/triple-frontend/pull/350,2019-12-18T02:33:07Z,2019-12-18T05:40:14Z,5,3,MERGED
triple-frontend,Form의 Type 을 정의하고 Docs 를 정리합니다.,https://github.com/titicacadev/triple-frontend/pull/347,2019-12-17T13:43:34Z,2019-12-23T01:51:42Z,10,27,MERGED
triple-frontend,팝업 네비바 버튼 아이콘을 조정할 수 있는 prop 추가,https://github.com/titicacadev/triple-frontend/pull/329,2019-12-10T05:36:04Z,2019-12-11T09:07:33Z,5,6,MERGED
triple-frontend,spinner 에 clickThrough prop 를 추가합니다,https://github.com/titicacadev/triple-frontend/pull/325,2019-12-09T12:44:20Z,2019-12-11T06:37:43Z,1,2,CLOSED
triple-frontend,baseprice 가 있을때만 pricingNote 를 노출하도록 변경,https://github.com/titicacadev/triple-frontend/pull/324,2019-12-09T12:16:47Z,2019-12-10T05:07:29Z,13,9,MERGED
triple-frontend,ExtendedResourceListElement 의 스타일을 수정합니다,https://github.com/titicacadev/triple-frontend/pull/305,2019-12-05T02:18:16Z,2019-12-05T07:28:28Z,3,2,MERGED
triple-frontend,storybook 버젼을 v5.2 로 올립니다,https://github.com/titicacadev/triple-frontend/pull/298,2019-12-04T06:46:04Z,2019-12-05T06:52:05Z,3,6,MERGED
triple-frontend,spinner 에서 custom element 를 받을 수 있도록 추가합니다,https://github.com/titicacadev/triple-frontend/pull/297,2019-12-04T00:37:59Z,2019-12-04T02:21:42Z,4,2,MERGED
triple-frontend,[core-elements] list item 에 구분선 생략 prop 을 추가합니다,https://github.com/titicacadev/triple-frontend/pull/296,2019-12-04T00:20:45Z,2019-12-04T04:47:59Z,2,2,MERGED
triple-frontend,[install-floating-button] <a> 선택 영역을 버튼 전체 크기로 변경,https://github.com/titicacadev/triple-frontend/pull/289,2019-12-02T10:05:48Z,2019-12-02T10:49:20Z,1,1,MERGED
triple-frontend,lineHeight prop를 추가합니다.,https://github.com/titicacadev/triple-frontend/pull/447,2020-01-31T05:50:42Z,2020-02-03T09:08:57Z,1,3,MERGED
triple-frontend,-webkit-scrollbar 속성을 추가합니다.,https://github.com/titicacadev/triple-frontend/pull/446,2020-01-31T04:26:29Z,2020-02-03T04:25:24Z,0,1,MERGED
triple-frontend,drawer-button 패키지 추가,https://github.com/titicacadev/triple-frontend/pull/445,2020-01-31T04:01:58Z,2020-02-06T05:45:34Z,2,5,MERGED
triple-frontend,예약완료 패키지를 추가합니다 ,https://github.com/titicacadev/triple-frontend/pull/439,2020-01-30T05:23:37Z,2020-02-06T07:01:31Z,17,10,MERGED
triple-frontend,color palette 를 추가합니다,https://github.com/titicacadev/triple-frontend/pull/429,2020-01-24T10:17:37Z,2020-01-29T02:52:03Z,6,7,MERGED
